10,30;-7,22;0,00;-38,61
10,30;-7,22;0,00;-34,62
10,30;-7,22;0,00;-37,31
10,30;-7,22;0,00;-41,29
10,40;-7,18;0,00;-41,32
10,40;-7,18;0,00;-41,32
10,40;-7,18;0,01;-31,81
10,40;-7,18;0,01;-34,03
10,50;-7,14;0,00;-38,08
10,50;-7,14;0,00;-38,08
10,50;-7,14;0,01;-31,36
10,60;-7,10;0,00;-37,34
10,60;-7,10;0,00;-37,20
10,60;-7,10;0,01;-32,35
10,60;-7,10;0,00;-37,34
10,60;-7,10;0,00;-37,67
10,60;-7,10;0,00;-40,50
10,60;-7,10;0,01;-31,47
10,60;-7,10;0,01;-32,00
10,60;-7,10;0,00;-35,69
10,60;-7,10;0,00;-35,16
10,70;-7,05;0,01;-32,09
10,70;-7,05;0,01;-31,20
10,70;-7,05;0,00;-37,07
10,70;-7,05;0,01;-32,36
10,70;-7,05;0,00;-37,88
10,70;-7,05;0,02;-28,67
10,80;-7,01;0,00;-38,14
10,80;-7,01;0,01;-34,36
25,20;-3,33;0,00;-46,72
10,80;-7,01;0,00;-38,14
10,90;-6,97;0,00;-38,62
10,90;-6,97;0,00;-37,71
10,90;-6,97;0,01;-31,20
10,90;-6,97;0,01;-31,51
11,00;-6,93;0,00;-41,50
11,00;-6,93;0,00;-41,50
11,00;-6,93;0,00;-45,29
11,00;-6,93;0,00;-35,79
11,00;-6,93;0,00;-41,47
11,00;-6,93;0,00;-41,47
11,00;-6,93;0,01;-31,91
11,00;-6,93;0,00;-45,29
11,00;-6,93;0,00;-35,29
11,10;-6,90;0,00;-40,58
11,10;-6,90;0,00;-35,19
11,10;-6,90;0,00;-40,58
11,10;-6,90;0,01;-34,39
11,20;-6,86;0,00;-35,16
11,20;-6,86;0,00;-34,74
11,20;-6,86;0,00;-35,72
11,20;-6,86;0,00;-44,19
11,20;-6,86;0,00;-43,28
11,20;-6,86;0,00;-44,19
11,20;-6,86;0,00;-43,28
11,30;-6,82;0,00;-44,00
11,30;-6,82;0,00;-44,00
11,30;-6,82;0,00;-44,00
11,30;-6,82;0,00;-37,98
11,30;-6,82;0,03;-26,52
11,30;-6,82;0,00;-38,56
11,40;-6,78;0,00;-37,43
11,40;-6,78;0,00;-37,43
11,40;-6,78;0,01;-31,58
11,40;-6,78;0,01;-34,32
11,40;-6,78;0,01;-33,40
11,40;-6,78;0,00;-38,91
11,40;-6,78;0,01;-32,52
11,40;-6,78;0,00;-38,91
11,50;-6,74;0,00;-35,25
11,50;-6,74;0,00;-34,79
11,50;-6,74;0,01;-32,62
11,60;-6,70;0,00;-38,47
11,60;-6,70;0,00;-38,47
11,60;-6,70;0,00;-39,05
11,60;-6,70;0,01;-32,01
11,60;-6,70;0,00;-45,07
11,60;-6,70;0,01;-30,01
11,70;-6,67;0,00;-39,03
11,70;-6,67;0,00;-41,64
11,70;-6,67;0,00;-41,64
11,70;-6,67;0,00;-40,65
11,70;-6,67;0,00;-39,03
11,70;-6,67;0,00;-40,65
11,70;-6,67;0,00;-35,87
11,70;-6,67;0,00;-37,47
11,80;-6,63;0,00;-39,60
11,80;-6,63;0,00;-38,33
11,80;-6,63;0,00;-37,84
11,80;-6,63;0,00;-38,33
11,80;-6,63;0,00;-37,84
11,90;-6,59;0,00;-38,09
12,00;-6,56;0,01;-31,66
12,00;-6,56;0,01;-33,17
